"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","3","296-ISO6740QDWRQ1CT-ND","ISO6740QDWRQ1","DGTL ISOLTR 5KV 4CH CAN 16-SOIC","","3","0","2.07000","6.21"
"2","2","L717SDBH25POL2RM8-ND","L717SDBH25POL2RM8","CONN D-SUB PLUG 25POS VERT SLDR","","2","0","2.28000","4.56"
"3","4","WM1917-ND","0436500215","CONN HEADER VERT 2POS 3MM","","4","0","0.89000","3.56"
"4","1","WM23802-ND","0039288060","CONN HEADER VERT 6POS 4.2MM","","1","0","1.17000","1.17"
"5","1","945-1030-ND","R-781.8-0.5","DC DC CONVERTER 1.8V 1W","","1","0","8.20000","8.20"
"6","1","945-30004967-ND","RLS-397","FIXED IND 3.9UH 1.32A 140MOHM SM","","1","0","1.00000","1.00"
"7","1","TST-112-01-L-D-ND","TST-112-01-L-D","CONN HEADER VERT 24POS 2.54MM","","1","0","3.39000","3.39"
"8","2","S7115-ND","PPPC122LFBN-RC","CONN HDR 24POS 0.1 GOLD PCB","","2","0","1.42000","2.84"
"9","3","S7072-ND","PPTC042LFBN-RC","CONN HDR 8POS 0.1 TIN PCB","","3","0","0.58000","1.74"
"10","10","311-1088-1-ND","CC0603KRX7R7BB104","CAP CER 0.1UF 16V X7R 0603","","10","0","0.01400","0.14"
"11","5","1276-3387-1-ND","CL32B106KBJNNNE","CAP CER 10UF 50V X7R 1210","","5","0","0.22000","1.10"
"12","5","445-1432-1-ND","C3225X7R1H335M250AB","CAP CER 3.3UF 50V X7R 1210","","5","0","0.72000","3.60"
"13","2","641-2016-1-ND","1N4002-G","DIODE GEN PURP 100V 1A DO41","","2","0","0.10000","0.20"
"14","4","900-2147502022-ND","2147502022","MICROFIT 3.0 SR R-R 2CKT 300 MM","","4","0","2.52000","10.08"
